"id_producto","id_presentacion","id_color","nombre_producto","especificaciones","observaciones","precio_unitario","peso_unitario","ancho_present","largo_present","alto_present","fecha_creacion","fecha_actualizacion","cantidad_minima","nombre_categoria"
"RUB09",7,7,"Cheeky Baby Crema","Contiene una buena pigmentación y es fácil de difuminar dejando un acabado matte","Puede usarase en labios y mejillas","16.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB010",7,23,"Cheeky Baby Crema","Contiene una buena pigmentación y es fácil de difuminar dejando un acabado matte","Puede usarase en labios y mejillas","16.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB011",7,24,"Cheeky Baby Crema","Contiene una buena pigmentación y es fácil de difuminar dejando un acabado matte","Puede usarase en labios y mejillas","16.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB012",7,25,"Cheeky Baby Crema","Contiene una buena pigmentación y es fácil de difuminar dejando un acabado matte","Puede usarase en labios y mejillas","16.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"LAB01",8,12,"Matte Mousse Liquid Lipstick","Labiales matte con efecto hidratante transferencia mínima",NULL,"25.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB02",8,26,"Matte Mousse Liquid Lipstick","Labiales matte con efecto hidratante transferencia mínima",NULL,"25.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB03",8,27,"Matte Mousse Liquid Lipstick","Labiales matte con efecto hidratante transferencia mínima",NULL,"25.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB04",8,28,"Matte Mousse Liquid Lipstick","Labiales matte con efecto hidratante transferencia mínima",NULL,"25.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB05",8,29,"Matte Mousse Liquid Lipstick","Labiales matte con efecto hidratante transferencia mínima",NULL,"25.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB06",8,30,"Matte Mousse Liquid Lipstick","Labiales matte con efecto hidratante transferencia mínima",NULL,"25.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB07",8,31,"Matte Mousse Liquid Lipstick","Labiales matte con efecto hidratante transferencia mínima",NULL,"25.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB08",9,8,"Vinyl Ink Maybelline","Labial con efecto vinil intransferible hasta por 16 hr","Deja un acabado brillante hermoso","47.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB09",9,32,"Vinyl Ink Maybelline","Labial con efecto vinil intransferible hasta por 16 hr","Deja un acabado brillante hermoso","47.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB010",9,33,"Vinyl Ink Maybelline","Labial con efecto vinil intransferible hasta por 16 hr","Deja un acabado brillante hermoso","47.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB011",9,34,"Vinyl Ink Maybelline","Labial con efecto vinil intransferible hasta por 16 hr","Deja un acabado brillante hermoso","47.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB012",9,35,"Vinyl Ink Maybelline","Labial con efecto vinil intransferible hasta por 16 hr","Deja un acabado brillante hermoso","47.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB013",9,36,"Vinyl Ink Maybelline","Labial con efecto vinil intransferible hasta por 16 hr","Deja un acabado brillante hermoso","47.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB014",9,37,"Vinyl Ink Maybelline","Labial con efecto vinil intransferible hasta por 16 hr","Deja un acabado brillante hermoso","47.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB015",10,2,"Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios","45.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB016",10,38,"Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios","45.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB017",10,39,"Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios","45.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB018",10,40,"Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios","45.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB019",10,41,"Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios","45.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB020",10,42,"Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios","45.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB021",10,43,"Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios","45.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB022",10,44,"Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios","45.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"LAB023",10,45,"Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios","45.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Labiales"
"GLI01",11,10,"Gliterally","Extra brillante, perfecto para looks elaborados",NULL,"22.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"GLI02",11,46,"Gliterally","Extra brillante, perfecto para looks elaborados",NULL,"22.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"GLI03",11,47,"Gliterally","Extra brillante, perfecto para looks elaborados",NULL,"22.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"GLI04",11,48,"Gliterally","Extra brillante, perfecto para looks elaborados",NULL,"22.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"GLI05",11,49,"Gliterally","Extra brillante, perfecto para looks elaborados",NULL,"22.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"GLI06",11,50,"Gliterally","Extra brillante, perfecto para looks elaborados",NULL,"22.00","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"GLI07",11,8,"Glitter Shock","Con cobertura media a graduable, hidrata y matifica","Para mayor cobertura aplicarlo con brocha biselada y compacta o lengua de gato","18.50","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"GLI08",11,51,"Glitter Shock","Con cobertura media a graduable, hidrata y matifica","Para mayor cobertura aplicarlo con brocha biselada y compacta o lengua de gato","18.50","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"GLI09",11,52,"Glitter Shock","Con cobertura media a graduable, hidrata y matifica","Para mayor cobertura aplicarlo con brocha biselada y compacta o lengua de gato","18.50","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"GLI010",11,53,"Glitter Shock","Con cobertura media a graduable, hidrata y matifica","Para mayor cobertura aplicarlo con brocha biselada y compacta o lengua de gato","18.50","0.250","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Glitter"
"DEL01",12,4,"Delineador Líquido PROSA","4 en 1 Prosa, tiene la punta súper delgada para crear diseños increíbles","El color negro resalta los ojos y ayuda a crear un look perfecto","26.50","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",9,"Delineadores"
"DEL02",13,2,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL03",13,5,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL04",13,54,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL05",13,55,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL06",13,56,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL07",13,57,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL08",13,58,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL09",13,11,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL010",13,59,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL011",13,60,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"DEL012",13,61,"Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos","7.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Delineadores"
"RIM01",14,4,"Maxi Volumen Silicón PROSA","Aporta un volumen intenso recreando pestañas pobladas y abundantes",NULL,"30.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Rimels"
"RIM02",15,4,"Profesional PROSA","Aporta demasiada longitud, perfecta para pestañas cortas",NULL,"30.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Rimels"
"RIM03",15,4,"Micro Fibra PROSA","Genera un efecto de pestañas más pobladas","Su micro fibra crea y extiende las pestañas","30.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",7,"Rimels"
"RIM04",16,11,"Máscara Marrón PROSA","4 en 1 con fórmula alargadora de pestañas que aporta longitud y cuidado",NULL,"28.00","0.120","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Rimels"
"CUA01",17,5,"Bear Notebook","Cuaderno B5 con 60 hojas rayadas","Incluye gratis un repuesto de 60 hojas","20.00","0.450","12.0","18.0","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",12,"Cuadernos"
"CUA02",18,5,"Repuesto B5","Contiene 60 hojas",NULL,"5.00","0.450","12.0","18.0","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",15,"Cuadernos"
"CUA03",19,5,"Repuesto B5","Contiene 60 hojas",NULL,"5.00","0.450","12.0","18.0","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",15,"Cuadernos"
"CUA04",20,5,"Repuesto B5","Contiene 60 hojas",NULL,"5.00","0.450","12.0","18.0","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",15,"Cuadernos"
"CUA05",23,5,"Respuesto A4","Contiene 60 hojas",NULL,"6.50","0.450","12.0","18.0","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",15,"Cuadernos"
"CUA06",24,5,"Respuesto A4","Contiene 60 hojas",NULL,"6.50","0.450","12.0","18.0","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",15,"Cuadernos"
"CUA07",25,5,"Respuesto A4","Contiene 60 hojas",NULL,"6.50","0.450","12.0","18.0","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",15,"Cuadernos"
"LAP01",21,4,"Diamond Pen","Lapicero de tinta negra y punta 0.05mm","Incluye protector","6.50","0.200","1.0","1.0","7.0","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Lapiceros"
"LAP02",21,4,"Cat Pen","Lapicero de tinta negra y punta 0.05mm",NULL,"5.80","0.200","1.0","1.0","7.0","2024-01-21 11:00:00","2024-01-21 11:00:00",15,"Lapiceros"
"LAP03",21,4,"Topping Pen","Lapicero de tinta negra y punta 0.05mm","Incluye protector y tops","6.50","0.200","1.0","1.0","7.0","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Lapiceros"
"LAP04",21,4,"Cake Pen","Lapicero de tinta negra y punta 0.05mm",NULL,"5.50","0.200","1.0","1.0","7.0","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Lapiceros"
"LAP05",22,4,"Little Bunny Cutter","Lapicero cutter más ligero",NULL,"6.50","0.200","1.0","1.0","7.0","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Lapiceros"
"LAP06",21,4,"Muffin Pen","Lapicero de tinta negra y punta 0.05mm",NULL,"5.50","0.200","1.0","1.0","7.0","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Lapiceros"
"LAP07",21,4,"Pinkroll Pen","Lapicero de tinta negra y punta 0.05mm",NULL,"6.00","0.200","1.0","1.0","7.0","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Lapiceros"
"LAP08",21,4,"Vintpink Cat Pen","Lapicero de tinta negra y punta 0.05mm",NULL,"6.00","0.200","1.0","1.0","7.0","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Lapiceros"
"LAP09",21,4,"Bunnycake Pen","Lapicero de tinta negra y punta 0.05mm",NULL,"6.00","0.200","1.0","1.0","7.0","2024-01-21 11:00:00","2024-01-21 11:00:00",10,"Lapiceros"
