"id_producto","nombre_producto","especificaciones","observaciones","cantidad_minima","precio_unitario_producto","zona_uso","peso_unitario_producto","ancho_present","largo_present","alto_present","nombre_categoria"
"RUB002","Stay Blushing Cute","Buena pigmentación y se desliza al difuminar. Deja un acabado semi matte","Puede usarse en labios y mejillas",6,"30.00","Mejillas","0.150","1.0","1.0","3.5","Rubores"
"RUB003","Cheeky Baby Crema","Contiene una buena pigmentación y es fácil de difuminar dejando un acabado matte","Puede usarase en labios y mejillas",6,"16.00","Mejillas","0.150","1.0","1.0","3.5","Rubores"
"LAB001","Matte Mousse Liquid Lipstick","Labiales matte con efecto hidratante transferencia mínima",NULL,6,"25.00","Labios","0.250","1.0","1.0","2.5","Labiales"
"LAB002","Vinyl Ink Maybelline","Labial con efecto vinil intransferible hasta por 16 hr","Deja un acabado brillante hermoso",6,"47.00","Labios","0.250","1.0","1.0","2.5","Labiales"
"LAB003","Super Stay Matte Maybelline","Labial con efecto matte intransferible hasta por 24 hr","Deja un acabado matte sin resecar los labios",6,"45.00","Labios","0.250","1.0","1.0","2.5","Labiales"
"GLI001","Gliterally","Extra brillante, perfecto para looks elaborados",NULL,6,"22.00","Ojos","0.250","1.0","1.0","2.5","Glitter"
"GLI002","Glitter Shock","Con cobertura media a graduable, hidrata y matifica","Para mayor cobertura aplicarlo con brocha biselada y compacta o lengua de gato",6,"18.50","Rostro","0.250","1.0","1.0","2.5","Glitter"
"DEL001","Delineador Líquido PROSA","4 en 1 Prosa, tiene la punta súper delgada para crear diseños increíbles","El color negro resalta los ojos y ayuda a crear un look perfecto",6,"26.50","Ojos","0.120","1.0","1.0","2.5","Delineadores"
"DEL002","Ultrafine Lipliner","Cremosos y fácil de trazar, perfectos para voluminizar los labios","También se puede usar en los ojos",10,"7.00","Labios","0.120","1.0","1.0","2.5","Delineadores"
"RIM001","Maxi Volumen Silicón PROSA","Aporta un volumen intenso recreando pestañas pobladas y abundantes",NULL,6,"30.00","Pestañas","0.120","1.0","1.0","2.5","Rimels"
"RIM002","Profesional PROSA","Aporta demasiada longitud, perfecta para pestañas cortas",NULL,6,"30.00","Pestañas","0.120","1.0","1.0","2.5","Rimels"
"RIM003","Micro Fibra PROSA","Genera un efecto de pestañas más pobladas","Su micro fibra crea y extiende las pestañas",6,"30.00","Pestañas","0.120","1.0","1.0","2.5","Rimels"
"RIM004","Máscara Marrón PROSA","4 en 1 con fórmula alargadora de pestañas que aporta longitud y cuidado",NULL,6,"28.00","Pestañas","0.120","1.0","1.0","2.5","Rimels"
"CUA001","Bear Notebook","Cuaderno B5 con 60 hojas rayadas","Incluye gratis un repuesto de 60 hojas",10,"20.00","Ninguno","0.450","12.0","18.0","1.5","Cuadernos"
"CUA002","Repuesto B5","Contiene 60 hojas",NULL,15,"5.00","Ninguno","0.450","12.0","18.0","1.5","Cuadernos"
"CUA003","Respuesto A4","Contiene 60 hojas",NULL,15,"6.50","Ninguno","0.450","12.0","18.0","1.5","Cuadernos"
"LAP001","Diamond Pen","Lapicero de tinta negra y punta 0.05mm","Incluye protector",10,"6.50","Ninguno","0.200","1.0","1.0","7.0","Lapiceros"
"LAP002","Cat Pen","Lapicero de tinta negra y punta 0.05mm",NULL,10,"5.80","Ninguno","0.200","1.0","1.0","7.0","Lapiceros"
"LAP003","Topping Pen","Lapicero de tinta negra y punta 0.05mm","Incluye protector y tops",10,"6.50","Ninguno","0.200","1.0","1.0","7.0","Lapiceros"
"LAP004","Cake Pen","Lapicero de tinta negra y punta 0.05mm",NULL,10,"5.50","Ninguno","0.200","1.0","1.0","7.0","Lapiceros"
"LAP005","Little Bunny Cutter","Lapicero cutter más ligero",NULL,10,"6.50","Ninguno","0.200","1.0","1.0","7.0","Lapiceros"
"LAP006","Muffin Pen","Lapicero de tinta negra y punta 0.05mm",NULL,10,"5.50","Ninguno","0.200","1.0","1.0","7.0","Lapiceros"
"LAP007","Pinkroll Pen","Lapicero de tinta negra y punta 0.05mm",NULL,10,"6.00","Ninguno","0.200","1.0","1.0","7.0","Lapiceros"
"LAP008","Vintpink Cat Pen","Lapicero de tinta negra y punta 0.05mm",NULL,10,"6.00","Ninguno","0.200","1.0","1.0","7.0","Lapiceros"
"LAP009","Bunnycake Pen","Lapicero de tinta negra y punta 0.05mm",NULL,10,"6.00","Ninguno","0.200","1.0","1.0","7.0","Lapiceros"
