Id_observacion, descripcion, Id_campaña, estado_atendido
10078,'Actualizar las fechas de la campaña según el calendario de marketing',100080,TRUE
10079,'Agregar una promoción especial para nuevos clientes',100081,TRUE
10080,'Incluir una oferta 2x1 en productos seleccionados durante la campaña',100082,TRUE
10081,'Extender la campaña hasta fin de mes y aumentar el presupuesto publicitario',100083,TRUE
10082,'Realizar un evento de lanzamiento en línea para el nuevo producto',100084,TRUE
10083,'Implementar una estrategia de redes sociales para aumentar la visibilidad',100085,TRUE
10084,'Ofrecer envío gratuito durante toda la campaña',100086,FALSE
10085,'Aumentar la duración de la campaña en una semana y agregar un producto más',100087,FALSE
10086,'Reducir el precio del producto en un 5% durante la campaña',100088,FALSE
10087,'Lanzar una nueva campaña de marketing para el producto 2',100089,FALSE
10088,'Extender la fecha de inicio de la campaña en cinco días',100090,FALSE
10089,'Ofrecer un descuento del 20% para los primeros 50 compradores',100091,TRUE
10090,'Actualizar las fechas de la campaña según el calendario de marketing',100091,FALSE
10091,'Agregar una promoción especial para clientes frecuentes',100092,FALSE
10092,'Incluir un regalo con la compra del producto durante la campaña',100093,TRUE
10093,'Extender la campaña hasta fin de mes y aumentar el presupuesto publicitario',100093,FALSE
10094,'Realizar un evento de lanzamiento en línea para el nuevo producto',100096,TRUE
10095,'Implementar una estrategia de redes sociales para aumentar la visibilidad',100096,FALSE
10096,'Ofrecer envío gratuito durante toda la campaña',100097,FALSE
10097,'Aumentar la duración de la campaña en una semana y agregar un producto más',100098,TRUE
10098,'Reducir el precio del producto en un 15% durante la primera semana',100098,FALSE
10099,'Extender la duración de la campaña en dos semanas y añadir un producto adicional',100099,FALSE
